HHS,Year,Quarter,Category,Actual_Revenue,Budgeted_Revenue,Variance,Variance_Pct,FY
Cairns and Hinterland,2019,Q1,Car Parking,168385.0,184974.0,-16589.0,-8.97,FY2019/20
Cairns and Hinterland,2019,Q1,Cafeteria & Food Services,95419.0,104740.0,-9321.0,-8.9,FY2019/20
Cairns and Hinterland,2019,Q1,Private Patient Fees,405695.0,429535.0,-23840.0,-5.55,FY2019/20
Cairns and Hinterland,2019,Q1,Pharmacy Retail,129575.0,131591.0,-2016.0,-1.53,FY2019/20
Cairns and Hinterland,2019,Q1,Medical Imaging (Private),101824.0,97536.0,4288.0,4.4,FY2019/20
Cairns and Hinterland,2019,Q1,Accommodation Fees,41277.0,42263.0,-986.0,-2.33,FY2019/20
Cairns and Hinterland,2019,Q1,Equipment Hire,30535.0,30092.0,443.0,1.47,FY2019/20
Cairns and Hinterland,2019,Q1,Research Grants,69835.0,70732.0,-897.0,-1.27,FY2019/20
Cairns and Hinterland,2019,Q1,Other Commercial,22550.0,21204.0,1346.0,6.35,FY2019/20
Cairns and Hinterland,2019,Q2,Car Parking,206718.0,214536.0,-7818.0,-3.64,FY2019/20
Cairns and Hinterland,2019,Q2,Cafeteria & Food Services,112069.0,113328.0,-1259.0,-1.11,FY2019/20
Cairns and Hinterland,2019,Q2,Private Patient Fees,388419.0,350835.0,37583.0,10.71,FY2019/20
Cairns and Hinterland,2019,Q2,Pharmacy Retail,134336.0,121981.0,12355.0,10.13,FY2019/20
Cairns and Hinterland,2019,Q2,Medical Imaging (Private),102359.0,112430.0,-10071.0,-8.96,FY2019/20
Cairns and Hinterland,2019,Q2,Accommodation Fees,39544.0,37253.0,2291.0,6.15,FY2019/20
Cairns and Hinterland,2019,Q2,Equipment Hire,33187.0,31548.0,1639.0,5.2,FY2019/20
Cairns and Hinterland,2019,Q2,Research Grants,79187.0,72897.0,6290.0,8.63,FY2019/20
Cairns and Hinterland,2019,Q2,Other Commercial,18933.0,20747.0,-1814.0,-8.74,FY2019/20
Cairns and Hinterland,2019,Q3,Car Parking,195010.0,208540.0,-13529.0,-6.49,FY2019/20
Cairns and Hinterland,2019,Q3,Cafeteria & Food Services,99615.0,103131.0,-3516.0,-3.41,FY2019/20
Cairns and Hinterland,2019,Q3,Private Patient Fees,372233.0,379912.0,-7679.0,-2.02,FY2019/20
Cairns and Hinterland,2019,Q3,Pharmacy Retail,130267.0,132231.0,-1963.0,-1.48,FY2019/20
