HHS,Year,Quarter,Care_Type,NWA_Units,NWA_Price,ABF_Funded_Amt,Actual_Cost,Variance,Variance_Pct,FY
Cairns and Hinterland,2019,Q1,Admitted Acute,12739.0,5012,63848086.0,70974901.0,-7126815.0,-11.16,FY2019/20
Cairns and Hinterland,2019,Q1,Admitted Subacute,3033.6,5012,15204269.0,15991423.0,-787155.0,-5.18,FY2019/20
Cairns and Hinterland,2019,Q1,Emergency Department,6756.5,5012,33863504.0,33068358.0,795147.0,2.35,FY2019/20
Cairns and Hinterland,2019,Q1,Outpatient,5436.4,5012,27247068.0,29896844.0,-2649776.0,-9.72,FY2019/20
Cairns and Hinterland,2019,Q1,Mental Health,2311.8,5012,11586771.0,12402159.0,-815388.0,-7.04,FY2019/20
Cairns and Hinterland,2019,Q1,Maternity,1200.3,5012,6015811.0,6706936.0,-691125.0,-11.49,FY2019/20
Cairns and Hinterland,2019,Q2,Admitted Acute,13691.5,5012,68621701.0,67667698.0,954003.0,1.39,FY2019/20
Cairns and Hinterland,2019,Q2,Admitted Subacute,2776.1,5012,13913784.0,13651909.0,261875.0,1.88,FY2019/20
Cairns and Hinterland,2019,Q2,Emergency Department,6926.1,5012,34713378.0,36074441.0,-1361063.0,-3.92,FY2019/20
Cairns and Hinterland,2019,Q2,Outpatient,5786.3,5012,29000938.0,28986697.0,14241.0,0.05,FY2019/20
Cairns and Hinterland,2019,Q2,Mental Health,2315.7,5012,11606361.0,11301276.0,305085.0,2.63,FY2019/20
Cairns and Hinterland,2019,Q2,Maternity,1256.8,5012,6298912.0,6376272.0,-77360.0,-1.23,FY2019/20
Cairns and Hinterland,2019,Q3,Admitted Acute,12908.6,5012,64698031.0,70099017.0,-5400986.0,-8.35,FY2019/20
Cairns and Hinterland,2019,Q3,Admitted Subacute,2784.4,5012,13955650.0,14477868.0,-522218.0,-3.74,FY2019/20
Cairns and Hinterland,2019,Q3,Emergency Department,7255.7,5012,36365680.0,34834560.0,1531120.0,4.21,FY2019/20
Cairns and Hinterland,2019,Q3,Outpatient,5950.7,5012,29824718.0,29198074.0,626644.0,2.1,FY2019/20
Cairns and Hinterland,2019,Q3,Mental Health,2116.7,5012,10608794.0,11789665.0,-1180871.0,-11.13,FY2019/20
Cairns and Hinterland,2019,Q3,Maternity,1396.9,5012,7001020.0,7613102.0,-612082.0,-8.74,FY2019/20
Cairns and Hinterland,2019,Q4,Admitted Acute,12593.6,5012,63119106.0,61011197.0,2107909.0,3.34,FY2019/20
Cairns and Hinterland,2019,Q4,Admitted Subacute,3011.2,5012,15092240.0,15466919.0,-374679.0,-2.48,FY2019/20
Cairns and Hinterland,2019,Q4,Emergency Department,6717.6,5012,33668670.0,34819468.0,-1150798.0,-3.42,FY2019/20
Cairns and Hinterland,2019,Q4,Outpatient,5414.2,5012,27135909.0,29973903.0,-2837995.0,-10.46,FY2019/20
Cairns and Hinterland,2019,Q4,Mental Health,2187.2,5012,10962226.0,11648777.0,-686551.0,-6.26,FY2019/20
Cairns and Hinterland,2019,Q4,Maternity,1260.8,5012,6319310.0,6562044.0,-242735.0,-3.84,FY2019/20
Cairns and Hinterland,2020,Q1,Admitted Acute,11813.6,5127,60568512.0,59443467.0,1125045.0,1.86,FY2020/21
Cairns and Hinterland,2020,Q1,Admitted Subacute,2836.6,5127,14543138.0,15732368.0,-1189230.0,-8.18,FY2020/21
Cairns and Hinterland,2020,Q1,Emergency Department,6902.8,5127,35390726.0,39004850.0,-3614124.0,-10.21,FY2020/21
Cairns and Hinterland,2020,Q1,Outpatient,5359.4,5127,27477409.0,30409760.0,-2932351.0,-10.67,FY2020/21
Cairns and Hinterland,2020,Q1,Mental Health,1916.9,5127,9828154.0,9664192.0,163962.0,1.67,FY2020/21
Cairns and Hinterland,2020,Q1,Maternity,1087.3,5127,5574471.0,5604050.0,-29579.0,-0.53,FY2020/21
Cairns and Hinterland,2020,Q2,Admitted Acute,11517.1,5127,59048381.0,58819824.0,228556.0,0.39,FY2020/21
Cairns and Hinterland,2020,Q2,Admitted Subacute,2777.1,5127,14238304.0,14389915.0,-151610.0,-1.06,FY2020/21
Cairns and Hinterland,2020,Q2,Emergency Department,6223.2,5127,31906597.0,33254917.0,-1348320.0,-4.23,FY2020/21
Cairns and Hinterland,2020,Q2,Outpatient,4973.5,5127,25499352.0,27701820.0,-2202468.0,-8.64,FY2020/21
Cairns and Hinterland,2020,Q2,Mental Health,1912.4,5127,9804685.0,10959391.0,-1154705.0,-11.78,FY2020/21
Cairns and Hinterland,2020,Q2,Maternity,1223.7,5127,6273794.0,6172044.0,101750.0,1.62,FY2020/21
Cairns and Hinterland,2020,Q3,Admitted Acute,10798.3,5127,55362783.0,60269501.0,-4906717.0,-8.86,FY2020/21
Cairns and Hinterland,2020,Q3,Admitted Subacute,2725.7,5127,13974520.0,15007673.0,-1033153.0,-7.39,FY2020/21
Cairns and Hinterland,2020,Q3,Emergency Department,6729.2,5127,34500714.0,33209959.0,1290755.0,3.74,FY2020/21
Cairns and Hinterland,2020,Q3,Outpatient,5157.2,5127,26440998.0,25639776.0,801222.0,3.03,FY2020/21
Cairns and Hinterland,2020,Q3,Mental Health,2171.3,5127,11132086.0,11755045.0,-622959.0,-5.6,FY2020/21
Cairns and Hinterland,2020,Q3,Maternity,1140.9,5127,5849260.0,5619998.0,229262.0,3.92,FY2020/21
Cairns and Hinterland,2020,Q4,Admitted Acute,11371.4,5127,58301027.0,58608925.0,-307897.0,-0.53,FY2020/21
Cairns and Hinterland,2020,Q4,Admitted Subacute,2735.3,5127,14023755.0,14842529.0,-818774.0,-5.84,FY2020/21
Cairns and Hinterland,2020,Q4,Emergency Department,6848.9,5127,35114106.0,36177240.0,-1063134.0,-3.03,FY2020/21
Cairns and Hinterland,2020,Q4,Outpatient,4955.5,5127,25407023.0,27217315.0,-1810291.0,-7.13,FY2020/21
Cairns and Hinterland,2020,Q4,Mental Health,2137.7,5127,10959850.0,11457614.0,-497765.0,-4.54,FY2020/21
Cairns and Hinterland,2020,Q4,Maternity,1223.4,5127,6272565.0,6485489.0,-212924.0,-3.39,FY2020/21
Cairns and Hinterland,2021,Q1,Admitted Acute,12877.7,5234,67401723.0,68930527.0,-1528804.0,-2.27,FY2021/22
Cairns and Hinterland,2021,Q1,Admitted Subacute,2667.8,5234,13963048.0,13520999.0,442049.0,3.17,FY2021/22
Cairns and Hinterland,2021,Q1,Emergency Department,6528.0,5234,34167414.0,36155608.0,-1988194.0,-5.82,FY2021/22
Cairns and Hinterland,2021,Q1,Outpatient,5602.4,5234,29323203.0,30392239.0,-1069037.0,-3.65,FY2021/22
Cairns and Hinterland,2021,Q1,Mental Health,2391.9,5234,12518946.0,12423548.0,95398.0,0.76,FY2021/22
Cairns and Hinterland,2021,Q1,Maternity,1264.7,5234,6619450.0,7138704.0,-519254.0,-7.84,FY2021/22
Cairns and Hinterland,2021,Q2,Admitted Acute,12274.2,5234,64243338.0,61871897.0,2371441.0,3.69,FY2021/22
Cairns and Hinterland,2021,Q2,Admitted Subacute,2789.9,5234,14602116.0,14272219.0,329897.0,2.26,FY2021/22
Cairns and Hinterland,2021,Q2,Emergency Department,7542.2,5234,39476051.0,42925487.0,-3449436.0,-8.74,FY2021/22
Cairns and Hinterland,2021,Q2,Outpatient,5897.2,5234,30865906.0,33895343.0,-3029436.0,-9.81,FY2021/22
Cairns and Hinterland,2021,Q2,Mental Health,2354.5,5234,12323582.0,12098269.0,225313.0,1.83,FY2021/22
Cairns and Hinterland,2021,Q2,Maternity,1363.7,5234,7137558.0,7435109.0,-297552.0,-4.17,FY2021/22
Cairns and Hinterland,2021,Q3,Admitted Acute,13462.2,5234,70460958.0,77671617.0,-7210659.0,-10.23,FY2021/22
Cairns and Hinterland,2021,Q3,Admitted Subacute,2802.9,5234,14670420.0,14211365.0,459055.0,3.13,FY2021/22
Cairns and Hinterland,2021,Q3,Emergency Department,6749.9,5234,35328736.0,36127459.0,-798724.0,-2.26,FY2021/22
Cairns and Hinterland,2021,Q3,Outpatient,6067.7,5234,31758563.0,34817681.0,-3059118.0,-9.63,FY2021/22
Cairns and Hinterland,2021,Q3,Mental Health,2068.3,5234,10825423.0,11224091.0,-398668.0,-3.68,FY2021/22
Cairns and Hinterland,2021,Q3,Maternity,1266.1,5234,6627002.0,6545876.0,81126.0,1.22,FY2021/22
Cairns and Hinterland,2021,Q4,Admitted Acute,12050.6,5234,63072834.0,63539231.0,-466397.0,-0.74,FY2021/22
Cairns and Hinterland,2021,Q4,Admitted Subacute,3091.6,5234,16181236.0,16261244.0,-80008.0,-0.49,FY2021/22
Cairns and Hinterland,2021,Q4,Emergency Department,7078.3,5234,37047650.0,39622951.0,-2575302.0,-6.95,FY2021/22
Cairns and Hinterland,2021,Q4,Outpatient,5648.0,5234,29561458.0,32967025.0,-3405567.0,-11.52,FY2021/22
Cairns and Hinterland,2021,Q4,Mental Health,2411.6,5234,12622144.0,12531303.0,90842.0,0.72,FY2021/22
Cairns and Hinterland,2021,Q4,Maternity,1282.5,5234,6712789.0,6720504.0,-7715.0,-0.11,FY2021/22
Cairns and Hinterland,2022,Q1,Admitted Acute,13493.9,5389,72718645.0,69538716.0,3179930.0,4.37,FY2022/23
Cairns and Hinterland,2022,Q1,Admitted Subacute,3199.5,5389,17242088.0,17853414.0,-611326.0,-3.55,FY2022/23
Cairns and Hinterland,2022,Q1,Emergency Department,7134.7,5389,38448675.0,38347551.0,101124.0,0.26,FY2022/23
Cairns and Hinterland,2022,Q1,Outpatient,6699.5,5389,36103860.0,35769015.0,334844.0,0.93,FY2022/23
Cairns and Hinterland,2022,Q1,Mental Health,2306.7,5389,12430657.0,12843442.0,-412784.0,-3.32,FY2022/23
Cairns and Hinterland,2022,Q1,Maternity,1506.1,5389,8116327.0,8044492.0,71834.0,0.89,FY2022/23
Cairns and Hinterland,2022,Q2,Admitted Acute,14359.9,5389,77385475.0,83535711.0,-6150236.0,-7.95,FY2022/23
Cairns and Hinterland,2022,Q2,Admitted Subacute,3012.4,5389,16233718.0,17431714.0,-1197996.0,-7.38,FY2022/23
Cairns and Hinterland,2022,Q2,Emergency Department,7523.6,5389,40544948.0,42875958.0,-2331010.0,-5.75,FY2022/23
Cairns and Hinterland,2022,Q2,Outpatient,6423.1,5389,34614127.0,36036134.0,-1422007.0,-4.11,FY2022/23
Cairns and Hinterland,2022,Q2,Mental Health,2285.3,5389,12315511.0,13448555.0,-1133045.0,-9.2,FY2022/23
Cairns and Hinterland,2022,Q2,Maternity,1357.4,5389,7315171.0,7181363.0,133808.0,1.83,FY2022/23
Cairns and Hinterland,2022,Q3,Admitted Acute,12948.2,5389,69777705.0,73298116.0,-3520411.0,-5.05,FY2022/23
Cairns and Hinterland,2022,Q3,Admitted Subacute,3233.7,5389,17426450.0,16604269.0,822181.0,4.72,FY2022/23
Cairns and Hinterland,2022,Q3,Emergency Department,7701.1,5389,41501347.0,41024259.0,477088.0,1.15,FY2022/23
Cairns and Hinterland,2022,Q3,Outpatient,6434.8,5389,34677260.0,33971311.0,705950.0,2.04,FY2022/23
Cairns and Hinterland,2022,Q3,Mental Health,2520.3,5389,13582107.0,13795957.0,-213850.0,-1.57,FY2022/23
Cairns and Hinterland,2022,Q3,Maternity,1495.2,5389,8057379.0,7842880.0,214499.0,2.66,FY2022/23
Cairns and Hinterland,2022,Q4,Admitted Acute,13619.6,5389,73396156.0,71142196.0,2253959.0,3.07,FY2022/23
Cairns and Hinterland,2022,Q4,Admitted Subacute,3358.0,5389,18096469.0,19890692.0,-1794223.0,-9.91,FY2022/23
Cairns and Hinterland,2022,Q4,Emergency Department,7388.6,5389,39816985.0,42293494.0,-2476509.0,-6.22,FY2022/23
Cairns and Hinterland,2022,Q4,Outpatient,6607.9,5389,35610183.0,37190710.0,-1580527.0,-4.44,FY2022/23
Cairns and Hinterland,2022,Q4,Mental Health,2457.2,5389,13241998.0,13124341.0,117657.0,0.89,FY2022/23
Cairns and Hinterland,2022,Q4,Maternity,1306.5,5389,7040824.0,7762697.0,-721872.0,-10.25,FY2022/23
Cairns and Hinterland,2023,Q1,Admitted Acute,15216.2,5512,83871455.0,88704736.0,-4833281.0,-5.76,FY2023/24
Cairns and Hinterland,2023,Q1,Admitted Subacute,3134.6,5512,17278095.0,17439915.0,-161820.0,-0.94,FY2023/24
Cairns and Hinterland,2023,Q1,Emergency Department,8149.3,5512,44919177.0,49523785.0,-4604608.0,-10.25,FY2023/24
Cairns and Hinterland,2023,Q1,Outpatient,6833.5,5512,37666496.0,40776951.0,-3110456.0,-8.26,FY2023/24
Cairns and Hinterland,2023,Q1,Mental Health,2559.4,5512,14107245.0,13603669.0,503575.0,3.57,FY2023/24
Cairns and Hinterland,2023,Q1,Maternity,1352.6,5512,7455425.0,8221501.0,-766076.0,-10.28,FY2023/24
Cairns and Hinterland,2023,Q2,Admitted Acute,14543.5,5512,80163825.0,76280970.0,3882855.0,4.84,FY2023/24
Cairns and Hinterland,2023,Q2,Admitted Subacute,3012.3,5512,16604005.0,17646658.0,-1042653.0,-6.28,FY2023/24
Cairns and Hinterland,2023,Q2,Emergency Department,7242.2,5512,39918838.0,39014172.0,904666.0,2.27,FY2023/24
Cairns and Hinterland,2023,Q2,Outpatient,6485.2,5512,35746292.0,38163534.0,-2417242.0,-6.76,FY2023/24
Cairns and Hinterland,2023,Q2,Mental Health,2563.3,5512,14129159.0,13961387.0,167773.0,1.19,FY2023/24
Cairns and Hinterland,2023,Q2,Maternity,1478.5,5512,8149749.0,8070960.0,78789.0,0.97,FY2023/24
Cairns and Hinterland,2023,Q3,Admitted Acute,13900.5,5512,76619636.0,82511957.0,-5892321.0,-7.69,FY2023/24
Cairns and Hinterland,2023,Q3,Admitted Subacute,3294.5,5512,18159455.0,19873126.0,-1713671.0,-9.44,FY2023/24
Cairns and Hinterland,2023,Q3,Emergency Department,8063.3,5512,44445130.0,46516827.0,-2071697.0,-4.66,FY2023/24
Cairns and Hinterland,2023,Q3,Outpatient,6016.6,5512,33163761.0,33578696.0,-414935.0,-1.25,FY2023/24
Cairns and Hinterland,2023,Q3,Mental Health,2408.5,5512,13275580.0,13162449.0,113131.0,0.85,FY2023/24
Cairns and Hinterland,2023,Q3,Maternity,1538.2,5512,8478695.0,8621363.0,-142668.0,-1.68,FY2023/24
Cairns and Hinterland,2023,Q4,Admitted Acute,15197.0,5512,83765878.0,88565124.0,-4799246.0,-5.73,FY2023/24
Cairns and Hinterland,2023,Q4,Admitted Subacute,3369.3,5512,18571410.0,19229735.0,-658325.0,-3.54,FY2023/24
Cairns and Hinterland,2023,Q4,Emergency Department,7961.8,5512,43885308.0,45365473.0,-1480164.0,-3.37,FY2023/24
Cairns and Hinterland,2023,Q4,Outpatient,6121.2,5512,33740177.0,36197030.0,-2456854.0,-7.28,FY2023/24
Cairns and Hinterland,2023,Q4,Mental Health,2414.7,5512,13309944.0,12699466.0,610478.0,4.59,FY2023/24
Cairns and Hinterland,2023,Q4,Maternity,1463.3,5512,8065622.0,7905187.0,160435.0,1.99,FY2023/24
Cairns and Hinterland,2024,Q1,Admitted Acute,15655.7,5678,88892912.0,98863839.0,-9970928.0,-11.22,FY2024/25
Cairns and Hinterland,2024,Q1,Admitted Subacute,3509.1,5678,19924392.0,20181954.0,-257562.0,-1.29,FY2024/25
Cairns and Hinterland,2024,Q1,Emergency Department,7420.1,5678,42131570.0,46673950.0,-4542380.0,-10.78,FY2024/25
Cairns and Hinterland,2024,Q1,Outpatient,6505.6,5678,36938955.0,41162235.0,-4223279.0,-11.43,FY2024/25
Cairns and Hinterland,2024,Q1,Mental Health,2749.2,5678,15610113.0,17093255.0,-1483142.0,-9.5,FY2024/25
Cairns and Hinterland,2024,Q1,Maternity,1414.4,5678,8030969.0,8155181.0,-124212.0,-1.55,FY2024/25
Cairns and Hinterland,2024,Q2,Admitted Acute,15446.7,5678,87706134.0,88046148.0,-340014.0,-0.39,FY2024/25
Cairns and Hinterland,2024,Q2,Admitted Subacute,3116.6,5678,17696128.0,18486370.0,-790242.0,-4.47,FY2024/25
Cairns and Hinterland,2024,Q2,Emergency Department,8605.1,5678,48859651.0,52197990.0,-3338339.0,-6.83,FY2024/25
Cairns and Hinterland,2024,Q2,Outpatient,6655.0,5678,37787229.0,36522112.0,1265116.0,3.35,FY2024/25
Cairns and Hinterland,2024,Q2,Mental Health,2606.5,5678,14799539.0,16550460.0,-1750921.0,-11.83,FY2024/25
Cairns and Hinterland,2024,Q2,Maternity,1378.3,5678,7825872.0,8124163.0,-298291.0,-3.81,FY2024/25
Cairns and Hinterland,2024,Q3,Admitted Acute,15508.1,5678,88054725.0,94740779.0,-6686054.0,-7.59,FY2024/25
Cairns and Hinterland,2024,Q3,Admitted Subacute,3394.4,5678,19273141.0,20611126.0,-1337986.0,-6.94,FY2024/25
Cairns and Hinterland,2024,Q3,Emergency Department,7862.9,5678,44645632.0,44641641.0,3991.0,0.01,FY2024/25
Cairns and Hinterland,2024,Q3,Outpatient,6907.0,5678,39217987.0,42658161.0,-3440174.0,-8.77,FY2024/25
Cairns and Hinterland,2024,Q3,Mental Health,2709.7,5678,15385626.0,17004977.0,-1619351.0,-10.53,FY2024/25
Cairns and Hinterland,2024,Q3,Maternity,1465.2,5678,8319145.0,8612460.0,-293315.0,-3.53,FY2024/25
Cairns and Hinterland,2024,Q4,Admitted Acute,15323.0,5678,87004055.0,92267267.0,-5263212.0,-6.05,FY2024/25
Cairns and Hinterland,2024,Q4,Admitted Subacute,3397.0,5678,19287942.0,20932909.0,-1644967.0,-8.53,FY2024/25
Cairns and Hinterland,2024,Q4,Emergency Department,8545.7,5678,48522410.0,48884347.0,-361937.0,-0.75,FY2024/25
Cairns and Hinterland,2024,Q4,Outpatient,6450.2,5678,36624456.0,35378380.0,1246076.0,3.4,FY2024/25
Cairns and Hinterland,2024,Q4,Mental Health,2591.4,5678,14714144.0,14068343.0,645801.0,4.39,FY2024/25
Cairns and Hinterland,2024,Q4,Maternity,1454.4,5678,8258367.0,8607279.0,-348913.0,-4.22,FY2024/25
Townsville,2019,Q1,Admitted Acute,14004.8,5012,70191936.0,73732533.0,-3540597.0,-5.04,FY2019/20
Townsville,2019,Q1,Admitted Subacute,3017.4,5012,15123315.0,14463170.0,660145.0,4.37,FY2019/20
Townsville,2019,Q1,Emergency Department,8386.6,5012,42033831.0,42505972.0,-472141.0,-1.12,FY2019/20
Townsville,2019,Q1,Outpatient,6135.7,5012,30751884.0,31944483.0,-1192600.0,-3.88,FY2019/20
Townsville,2019,Q1,Mental Health,2647.1,5012,13267352.0,13090758.0,176594.0,1.33,FY2019/20
Townsville,2019,Q1,Maternity,1478.5,5012,7410295.0,7147297.0,262998.0,3.55,FY2019/20
Townsville,2019,Q2,Admitted Acute,13459.9,5012,67461027.0,70181749.0,-2720723.0,-4.03,FY2019/20
Townsville,2019,Q2,Admitted Subacute,3283.7,5012,16457962.0,17418500.0,-960537.0,-5.84,FY2019/20
Townsville,2019,Q2,Emergency Department,8263.5,5012,41416625.0,46216598.0,-4799974.0,-11.59,FY2019/20
Townsville,2019,Q2,Outpatient,6542.0,5012,32788592.0,32949341.0,-160749.0,-0.49,FY2019/20
Townsville,2019,Q2,Mental Health,2657.3,5012,13318616.0,13265894.0,52722.0,0.4,FY2019/20
Townsville,2019,Q2,Maternity,1435.8,5012,7196437.0,6932598.0,263839.0,3.67,FY2019/20
Townsville,2019,Q3,Admitted Acute,13398.8,5012,67154854.0,74787019.0,-7632165.0,-11.37,FY2019/20
Townsville,2019,Q3,Admitted Subacute,3437.9,5012,17230663.0,18407786.0,-1177123.0,-6.83,FY2019/20
Townsville,2019,Q3,Emergency Department,7858.8,5012,39388426.0,38579389.0,809037.0,2.05,FY2019/20
Townsville,2019,Q3,Outpatient,6166.3,5012,30905597.0,30675081.0,230516.0,0.75,FY2019/20
Townsville,2019,Q3,Mental Health,2557.5,5012,12818120.0,13734376.0,-916256.0,-7.15,FY2019/20
Townsville,2019,Q3,Maternity,1487.2,5012,7453675.0,7435702.0,17973.0,0.24,FY2019/20
Townsville,2019,Q4,Admitted Acute,15555.3,5012,77963101.0,83844830.0,-5881729.0,-7.54,FY2019/20
Townsville,2019,Q4,Admitted Subacute,3290.9,5012,16493855.0,17384399.0,-890545.0,-5.4,FY2019/20
Townsville,2019,Q4,Emergency Department,7872.4,5012,39456517.0,39145374.0,311144.0,0.79,FY2019/20
Townsville,2019,Q4,Outpatient,6374.6,5012,31949673.0,34468388.0,-2518715.0,-7.88,FY2019/20
