HHS,Care_Type,Year,NWA_Units,ABF_Funded,Actual_Cost,Variance,Variance_Pct
Cairns and Hinterland,Admitted Acute,2019,51932.7,260286924.0,269752813.0,-9465889.0,-3.64
Cairns and Hinterland,Admitted Acute,2020,45500.4,233280703.0,237141717.0,-3861013.0,-1.66
Cairns and Hinterland,Admitted Acute,2021,50664.700000000004,265178853.0,272013272.0,-6834419.0,-2.58
Cairns and Hinterland,Admitted Acute,2022,54421.6,293277981.0,297514739.0,-4236758.0,-1.44
Cairns and Hinterland,Admitted Acute,2023,58857.2,324420794.0,336062787.0,-11641993.0,-3.59
Cairns and Hinterland,Admitted Acute,2024,61933.5,351657826.0,373918033.0,-22260208.0,-6.33
Cairns and Hinterland,Admitted Subacute,2019,11605.3,58165943.0,59588119.0,-1422177.0,-2.45
Cairns and Hinterland,Admitted Subacute,2020,11074.7,56779717.0,59972485.0,-3192767.0,-5.62
Cairns and Hinterland,Admitted Subacute,2021,11352.2,59416820.0,58265827.0,1150993.0,1.94
Cairns and Hinterland,Admitted Subacute,2022,12803.6,68998725.0,71780089.0,-2781364.0,-4.03
Cairns and Hinterland,Admitted Subacute,2023,12810.7,70612965.0,74189434.0,-3576469.0,-5.06
Cairns and Hinterland,Admitted Subacute,2024,13417.1,76181603.0,80212359.0,-4030757.0,-5.29
Cairns and Hinterland,Emergency Department,2019,27655.9,138611232.0,138796827.0,-185594.0,-0.13
Cairns and Hinterland,Emergency Department,2020,26704.1,136912143.0,141646966.0,-4734823.0,-3.46
Cairns and Hinterland,Emergency Department,2021,27898.4,146019851.0,154831505.0,-8811656.0,-6.03
Cairns and Hinterland,Emergency Department,2022,29748.0,160311955.0,164541262.0,-4229307.0,-2.64
Cairns and Hinterland,Emergency Department,2023,31416.6,173168453.0,180420257.0,-7251803.0,-4.19
Cairns and Hinterland,Emergency Department,2024,32433.800000000003,184159263.0,192397928.0,-8238665.0,-4.47
Cairns and Hinterland,Maternity,2019,5114.8,25635053.0,27258354.0,-1623302.0,-6.33
Cairns and Hinterland,Maternity,2020,4675.3,23970090.0,23881581.0,88509.0,0.37
Cairns and Hinterland,Maternity,2021,5177.0,27096799.0,27840193.0,-743395.0,-2.74
Cairns and Hinterland,Maternity,2022,5665.2,30529701.0,30831432.0,-301731.0,-0.99
Cairns and Hinterland,Maternity,2023,5832.6,32149491.0,32819011.0,-669520.0,-2.08
Cairns and Hinterland,Maternity,2024,5712.3,32434353.0,33499083.0,-1064731.0,-3.28
Cairns and Hinterland,Mental Health,2019,8931.4,44764152.0,47141877.0,-2377725.0,-5.31
Cairns and Hinterland,Mental Health,2020,8138.3,41724775.0,43836242.0,-2111467.0,-5.06
Cairns and Hinterland,Mental Health,2021,9226.3,48290095.0,48277211.0,12885.0,0.03
Cairns and Hinterland,Mental Health,2022,9569.5,51570273.0,53212295.0,-1642022.0,-3.18
Cairns and Hinterland,Mental Health,2023,9945.9,54821928.0,53426971.0,1394957.0,2.54
Cairns and Hinterland,Mental Health,2024,10656.8,60509422.0,64717035.0,-4207613.0,-6.95
Cairns and Hinterland,Outpatient,2019,22587.6,113208633.0,118055518.0,-4846886.0,-4.28
Cairns and Hinterland,Outpatient,2020,20445.6,104824782.0,110968671.0,-6143888.0,-5.86
Cairns and Hinterland,Outpatient,2021,23215.3,121509130.0,132072288.0,-10563158.0,-8.69
Cairns and Hinterland,Outpatient,2022,26165.3,141005430.0,142967170.0,-1961740.0,-1.39
Cairns and Hinterland,Outpatient,2023,25456.5,140316726.0,148716211.0,-8399487.0,-5.99
Cairns and Hinterland,Outpatient,2024,26517.8,150568627.0,155720888.0,-5152261.0,-3.42
Central Queensland,Admitted Acute,2019,44888.2,224979388.0,231633764.0,-6654375.0,-2.96
Central Queensland,Admitted Acute,2020,38564.1,197718160.0,194340282.0,3377879.0,1.71
Central Queensland,Admitted Acute,2021,45115.3,236133573.0,241591303.0,-5457731.0,-2.31
Central Queensland,Admitted Acute,2022,48648.7,262167206.0,268958233.0,-6791028.0,-2.59
