HHS,Year,ABF_Total,OSR_Total,NFA_Total,Total_Funding,ABF_Pct,OSR_Pct,NFA_Pct
Cairns and Hinterland,2019,640671937.0,4284337.0,623807403.0,1268763677.0,50.5,0.3,49.2
Cairns and Hinterland,2020,597492210.0,3274578.0,653928700.0,1254695488.0,47.6,0.3,52.1
Cairns and Hinterland,2021,667511548.0,3780698.0,646579637.0,1317871883.0,50.7,0.3,49.1
Cairns and Hinterland,2022,745694065.0,4545798.0,689212532.0,1439452395.0,51.8,0.3,47.9
Cairns and Hinterland,2023,795490357.0,4585340.0,695233111.0,1495308808.0,53.2,0.3,46.5
Cairns and Hinterland,2024,855511094.0,4694606.0,728654506.0,1588860206.0,53.8,0.3,45.9
Central Queensland,2019,551139132.0,3475335.0,462894835.0,1017509302.0,54.2,0.3,45.5
Central Queensland,2020,500598973.0,2686948.0,482254709.0,985540630.0,50.8,0.3,48.9
Central Queensland,2021,576834450.0,3195310.0,500620473.0,1080650233.0,53.4,0.3,46.3
Central Queensland,2022,648186109.0,3807613.0,502978636.0,1154972358.0,56.1,0.3,43.5
Central Queensland,2023,664060794.0,3946628.0,532905385.0,1200912807.0,55.3,0.3,44.4
Central Queensland,2024,714820635.0,4146886.0,540711054.0,1259678575.0,56.7,0.3,42.9
Darling Downs,2019,599769070.0,3829069.0,517126307.0,1120724446.0,53.5,0.3,46.1
Darling Downs,2020,563925634.0,2988393.0,525220130.0,1092134157.0,51.6,0.3,48.1
Darling Downs,2021,624453354.0,3555323.0,535581394.0,1163590071.0,53.7,0.3,46.0
Darling Downs,2022,679228063.0,4214809.0,561554881.0,1244997753.0,54.6,0.3,45.1
Darling Downs,2023,733640255.0,4186948.0,588640432.0,1326467635.0,55.3,0.3,44.4
Darling Downs,2024,778068395.0,4357042.0,601285470.0,1383710907.0,56.2,0.3,43.5
Gold Coast,2019,1401816882.0,9138927.0,1203715409.0,2614671218.0,53.6,0.3,46.0
Gold Coast,2020,1288558332.0,7035269.0,1225644802.0,2521238403.0,51.1,0.3,48.6
Gold Coast,2021,1441836031.0,8450432.0,1292832997.0,2743119460.0,52.6,0.3,47.1
Gold Coast,2022,1627470351.0,9504314.0,1314341629.0,2951316294.0,55.1,0.3,44.5
Gold Coast,2023,1704454218.0,10034986.0,1355594257.0,3070083461.0,55.5,0.3,44.2
Gold Coast,2024,1769144959.0,10118617.0,1362608590.0,3141872166.0,56.3,0.3,43.4
Mackay,2019,390692376.0,2565319.0,350175563.0,743433258.0,52.6,0.3,47.1
Mackay,2020,364592489.0,1999047.0,356374295.0,722965831.0,50.4,0.3,49.3
Mackay,2021,409101789.0,2378844.0,364295465.0,775776098.0,52.7,0.3,47.0
Mackay,2022,461904749.0,2808374.0,373123202.0,837836325.0,55.1,0.3,44.5
Mackay,2023,485591648.0,2931413.0,384977426.0,873500487.0,55.6,0.3,44.1
Mackay,2024,499722502.0,2914584.0,399347092.0,901984178.0,55.4,0.3,44.3
Metro North,2019,2188414723.0,13409664.0,1755693461.0,3957517848.0,55.3,0.3,44.4
Metro North,2020,1941598735.0,10516717.0,1866730855.0,3818846307.0,50.8,0.3,48.9
Metro North,2021,2160659370.0,12706808.0,1940365668.0,4113731846.0,52.5,0.3,47.2
Metro North,2022,2405166976.0,14954939.0,1992967480.0,4413089395.0,54.5,0.3,45.2
Metro North,2023,2544650708.0,14886477.0,1974276524.0,4533813709.0,56.1,0.3,43.5
Metro North,2024,2641320308.0,15259917.0,2087541688.0,4744121913.0,55.7,0.3,44.0
Metro South,2019,1943239847.0,12781574.0,1664298484.0,3620319905.0,53.7,0.4,46.0
Metro South,2020,1778578405.0,9706480.0,1682624830.0,3470909715.0,51.2,0.3,48.5
Metro South,2021,2052449040.0,11822580.0,1740981265.0,3805252885.0,53.9,0.3,45.8
Metro South,2022,2260231053.0,13862766.0,1840793166.0,4114886985.0,54.9,0.3,44.7
Metro South,2023,2385113935.0,14076981.0,1894895296.0,4294086212.0,55.5,0.3,44.1
Metro South,2024,2439564855.0,14485554.0,1914889909.0,4368940318.0,55.8,0.3,43.8
North West,2019,123858097.0,793588.0,116493086.0,241144771.0,51.4,0.3,48.3
North West,2020,114728739.0,623772.0,122275709.0,237628220.0,48.3,0.3,51.5
North West,2021,130065269.0,738095.0,129658114.0,260461478.0,49.9,0.3,49.8
North West,2022,146674377.0,865346.0,133435722.0,280975445.0,52.2,0.3,47.5
North West,2023,153886214.0,895171.0,135938734.0,290720119.0,52.9,0.3,46.8
North West,2024,161919220.0,915204.0,137532014.0,300366438.0,53.9,0.3,45.8
South West,2019,73642227.0,468765.0,65736353.0,139847345.0,52.7,0.3,47.0
South West,2020,69248936.0,374607.0,64492019.0,134115562.0,51.6,0.3,48.1
South West,2021,77076896.0,452822.0,67239047.0,144768765.0,53.2,0.3,46.4
South West,2022,88641785.0,528082.0,70969179.0,160139046.0,55.4,0.3,44.3
South West,2023,88950997.0,541186.0,71181977.0,160674160.0,55.4,0.3,44.3
South West,2024,96226392.0,567606.0,72850741.0,169644739.0,56.7,0.3,42.9
