HHS,Funding_Stream,Year,Allocation,Commonwealth,State,Drawn,Undrawn,Utilisation_Pct
Cairns and Hinterland,Capital Funding,2019,32488612.0,16244306.0,16244306.0,30581504.0,1907108.0,94.13
Cairns and Hinterland,Capital Funding,2020,34849910.0,17599204.0,17250705.0,32953456.0,1896454.0,94.56
Cairns and Hinterland,Capital Funding,2021,34208476.0,17446323.0,16762153.0,33620082.0,588394.0,98.28
Cairns and Hinterland,Capital Funding,2022,36780722.0,18942072.0,17838650.0,35391238.0,1389484.0,96.22
Cairns and Hinterland,Capital Funding,2023,38334332.0,19933853.0,18400479.0,37044367.0,1289965.0,96.63
Cairns and Hinterland,Capital Funding,2024,38711363.0,20323466.0,18387897.0,37671102.0,1040261.0,97.31
Cairns and Hinterland,Indigenous Health,2019,112680763.0,56340382.0,56340382.0,108080282.0,4600481.0,95.92
Cairns and Hinterland,Indigenous Health,2020,118626898.0,59906583.0,58720315.0,115451139.0,3175759.0,97.32
Cairns and Hinterland,Indigenous Health,2021,114028561.0,58154566.0,55873995.0,107417023.0,6611538.0,94.2
Cairns and Hinterland,Indigenous Health,2022,122377033.0,63024172.0,59352861.0,119651490.0,2725543.0,97.77
Cairns and Hinterland,Indigenous Health,2023,129187442.0,67177470.0,62009972.0,123739793.0,5447650.0,95.78
Cairns and Hinterland,Indigenous Health,2024,125703219.0,65994190.0,59709029.0,118943568.0,6759650.0,94.62
Cairns and Hinterland,Mental Health,2019,67287447.0,33643723.0,33643723.0,64918367.0,2369080.0,96.48
Cairns and Hinterland,Mental Health,2020,69074794.0,34882771.0,34192023.0,67724875.0,1349919.0,98.05
Cairns and Hinterland,Mental Health,2021,69371120.0,35379271.0,33991849.0,64688735.0,4682385.0,93.25
Cairns and Hinterland,Mental Health,2022,70350824.0,36230674.0,34120150.0,69469949.0,880875.0,98.75
Cairns and Hinterland,Mental Health,2023,75368683.0,39191715.0,36176968.0,73012663.0,2356020.0,96.87
Cairns and Hinterland,Mental Health,2024,75737084.0,39761969.0,35975115.0,70717113.0,5019972.0,93.37
Cairns and Hinterland,National Health Reform Agreement,2019,306759279.0,153379640.0,153379640.0,297245645.0,9513634.0,96.9
Cairns and Hinterland,National Health Reform Agreement,2020,322598013.0,162911997.0,159686016.0,308661035.0,13936978.0,95.68
Cairns and Hinterland,National Health Reform Agreement,2021,319422049.0,162905245.0,156516804.0,300810447.0,18611602.0,94.17
Cairns and Hinterland,National Health Reform Agreement,2022,344280123.0,177304263.0,166975860.0,337496838.0,6783285.0,98.03
Cairns and Hinterland,National Health Reform Agreement,2023,333127199.0,173226143.0,159901056.0,324944403.0,8182796.0,97.54
Cairns and Hinterland,National Health Reform Agreement,2024,364328288.0,191272351.0,173055937.0,344951816.0,19376471.0,94.68
Cairns and Hinterland,Preventive Health,2019,26654678.0,13327339.0,13327339.0,25931318.0,723360.0,97.29
Cairns and Hinterland,Preventive Health,2020,27985770.0,14132814.0,13852956.0,26356155.0,1629615.0,94.18
Cairns and Hinterland,Preventive Health,2021,29945387.0,15272147.0,14673240.0,28880773.0,1064613.0,96.44
Cairns and Hinterland,Preventive Health,2022,30332754.0,15621368.0,14711386.0,30007430.0,325324.0,98.93
Cairns and Hinterland,Preventive Health,2023,30065961.0,15634300.0,14431661.0,28949047.0,1116914.0,96.29
Cairns and Hinterland,Preventive Health,2024,32881480.0,17262777.0,15618703.0,31539714.0,1341766.0,95.92
Cairns and Hinterland,Public Health,2019,39565803.0,19782902.0,19782902.0,37424901.0,2140902.0,94.59
Cairns and Hinterland,Public Health,2020,41549244.0,20982368.0,20566876.0,39623142.0,1926102.0,95.36
Cairns and Hinterland,Public Health,2021,39937358.0,20368052.0,19569305.0,38854316.0,1083041.0,97.29
Cairns and Hinterland,Public Health,2022,44167023.0,22746017.0,21421006.0,41793641.0,2373382.0,94.63
Cairns and Hinterland,Public Health,2023,44167131.0,22966908.0,21200223.0,43486396.0,680734.0,98.46
Cairns and Hinterland,Public Health,2024,46414769.0,24367754.0,22047015.0,45875159.0,539611.0,98.84
Cairns and Hinterland,Teaching & Research,2019,38370821.0,19185411.0,19185411.0,37959902.0,410919.0,98.93
Cairns and Hinterland,Teaching & Research,2020,39244071.0,19818256.0,19425815.0,37903224.0,1340846.0,96.58
Cairns and Hinterland,Teaching & Research,2021,39666686.0,20230010.0,19436676.0,37582452.0,2084234.0,94.75
Cairns and Hinterland,Teaching & Research,2022,40924053.0,21075887.0,19848166.0,38100823.0,2823230.0,93.1
Cairns and Hinterland,Teaching & Research,2023,44982363.0,23390829.0,21591534.0,43065955.0,1916408.0,95.74
Cairns and Hinterland,Teaching & Research,2024,44878303.0,23561109.0,21317194.0,42967235.0,1911068.0,95.74
Central Queensland,Capital Funding,2019,28960788.0,14480394.0,14480394.0,28806874.0,153914.0,99.47
Central Queensland,Capital Funding,2020,29785742.0,15041800.0,14743942.0,27733021.0,2052721.0,93.11
Central Queensland,Capital Funding,2021,30932364.0,15775506.0,15156859.0,30309621.0,622743.0,97.99
Central Queensland,Capital Funding,2022,31061585.0,15996716.0,15064869.0,30924919.0,136666.0,99.56
