HHS,Category,Year,Actual,Budget,Variance,Variance_Pct
Cairns and Hinterland,Accommodation Fees,2019,161848.0,155043.0,6804.0,4.39
Cairns and Hinterland,Accommodation Fees,2020,126198.0,120647.0,5550.0,4.6
Cairns and Hinterland,Accommodation Fees,2021,153447.0,155645.0,-2197.0,-1.41
Cairns and Hinterland,Accommodation Fees,2022,173507.0,172497.0,1009.0,0.58
Cairns and Hinterland,Accommodation Fees,2023,187089.0,185262.0,1825.0,0.99
Cairns and Hinterland,Accommodation Fees,2024,191691.0,187987.0,3704.0,1.97
Cairns and Hinterland,Cafeteria & Food Services,2019,419825.0,423663.0,-3838.0,-0.91
Cairns and Hinterland,Cafeteria & Food Services,2020,328425.0,321543.0,6881.0,2.14
Cairns and Hinterland,Cafeteria & Food Services,2021,372889.0,379696.0,-6808.0,-1.79
Cairns and Hinterland,Cafeteria & Food Services,2022,477705.0,470439.0,7266.0,1.54
Cairns and Hinterland,Cafeteria & Food Services,2023,467855.0,457235.0,10620.0,2.32
Cairns and Hinterland,Cafeteria & Food Services,2024,496430.0,515495.0,-19065.0,-3.7
Cairns and Hinterland,Car Parking,2019,740733.0,782287.0,-41553.0,-5.31
Cairns and Hinterland,Car Parking,2020,588656.0,597229.0,-8572.0,-1.44
Cairns and Hinterland,Car Parking,2021,717256.0,709797.0,7459.0,1.05
Cairns and Hinterland,Car Parking,2022,842649.0,851345.0,-8694.0,-1.02
Cairns and Hinterland,Car Parking,2023,823361.0,834648.0,-11285.0,-1.35
Cairns and Hinterland,Car Parking,2024,813702.0,797991.0,15711.0,1.97
Cairns and Hinterland,Equipment Hire,2019,125754.0,119157.0,6599.0,5.54
Cairns and Hinterland,Equipment Hire,2020,98721.0,97281.0,1438.0,1.48
Cairns and Hinterland,Equipment Hire,2021,120732.0,123284.0,-2552.0,-2.07
Cairns and Hinterland,Equipment Hire,2022,130779.0,127863.0,2916.0,2.28
Cairns and Hinterland,Equipment Hire,2023,142690.0,138888.0,3801.0,2.74
Cairns and Hinterland,Equipment Hire,2024,151089.0,157175.0,-6086.0,-3.87
Cairns and Hinterland,Medical Imaging (Private),2019,386014.0,387052.0,-1037.0,-0.27
Cairns and Hinterland,Medical Imaging (Private),2020,277261.0,266863.0,10397.0,3.9
Cairns and Hinterland,Medical Imaging (Private),2021,333915.0,342195.0,-8279.0,-2.42
Cairns and Hinterland,Medical Imaging (Private),2022,418930.0,436508.0,-17579.0,-4.03
Cairns and Hinterland,Medical Imaging (Private),2023,411441.0,423279.0,-11837.0,-2.8
Cairns and Hinterland,Medical Imaging (Private),2024,422164.0,411398.0,10767.0,2.62
Cairns and Hinterland,Other Commercial,2019,81919.0,79311.0,2608.0,3.29
Cairns and Hinterland,Other Commercial,2020,65708.0,68850.0,-3141.0,-4.56
Cairns and Hinterland,Other Commercial,2021,74454.0,73070.0,1384.0,1.89
Cairns and Hinterland,Other Commercial,2022,87176.0,86907.0,270.0,0.31
Cairns and Hinterland,Other Commercial,2023,89700.0,91868.0,-2167.0,-2.36
Cairns and Hinterland,Other Commercial,2024,95824.0,94558.0,1267.0,1.34
